sura_num,aya_num,median,std
1,0,4216.183159856781,2114.4663741771005
1,1,4386.768632750007,1312.1637879288428
1,2,5403.751240035104,962.5820631985187
1,3,4047.145279247485,1186.3758401457521
1,4,4098.071040610349,1022.5112975559616
1,5,5928.246647521379,1068.800492085496
1,6,4879.656088141796,946.7008374138532
1,7,14189.85665548017,2945.0369498749374
2,0,3964.6580071081953,1262.9789550083995
2,1,8726.257350766635,1614.287761695409
2,2,8348.33505449902,1329.8123400186357
2,3,12139.313908993292,1798.3759872072267
2,4,15205.772151189485,2149.3249120120304
2,5,11601.464458210836,1278.8952130401242
2,6,14721.98696518255,2749.8484676833036
2,7,14730.523318482323,1689.844561505789
2,8,12885.621084074653,1508.3046862323451
2,9,13638.214094799772,2057.364376575054
2,10,15011.405198380111,1617.3442757486541
2,11,10582.8109488699,1233.535142289834
2,12,8619.339782031071,1136.1141368424467
2,13,24912.045084856603,3128.5525259279448
2,14,19758.79296374569,2714.9151762914585
2,15,8849.39026496296,1388.9509736827547
2,16,13984.529631002886,1801.2554548795438
2,17,21515.653966816113,4557.773009374109
2,18,8193.59220631344,768.9450371670646
2,19,26280.946404460974,2988.822027028456
2,20,31299.667771862507,3244.200571844844
2,21,14412.934203226461,1425.9215170662494
2,22,31678.38897128033,4779.52019436124
2,23,27338.594182363726,4355.597299115943
2,24,15991.157042008443,2234.1303152386627
2,25,42261.40655725728,4548.794042689837
2,26,44130.213839199714,3970.0129813473727
2,27,24456.131875719973,3076.753371254865
2,28,18210.286661392267,1752.8771728957668
2,29,22644.94522703169,3325.112899521526
2,30,33728.512720840525,3110.4548767420124
2,31,25160.76074633177,4043.5757408829154
2,32,14345.813420040588,1424.6830603805045
2,33,33607.88774132446,3910.801836915149
2,34,16075.715091207976,2195.094641392613
2,35,20548.04026669467,3086.208346293137
2,36,22167.339335942597,1703.6032607080056
2,37,14497.732754586557,1666.7254326350774
2,38,19856.523818297814,3261.6955805250277
2,39,15362.884361023143,2102.218690290065
2,40,18490.557543650946,3313.9558114212127
2,41,23762.69537603542,2844.4378667356204
2,42,9513.899351433934,967.4969501229823
2,43,8586.366948977762,1234.4306962064477
2,44,15772.085721892743,1312.9404005111805
2,45,11658.64528213533,1012.791946755782
2,46,12041.840327031488,1526.6293620556164
2,47,15954.916341327622,1627.4582342285958
2,48,20440.472094254757,3212.0245382980834
2,49,27410.081091251348,2680.300904300826
2,50,14302.060805534762,1633.2623756647342
2,51,15271.980254080363,1919.4755522381047
2,52,10415.350048361164,679.3591259607695
2,53,8863.52446455204,666.8185015761655
2,54,33951.33905560601,2828.1873785176604
2,55,16122.085949850483,1279.793423879985
2,56,9457.692321736264,837.6440113522176
2,57,24752.811389666604,2573.0998859410083
2,58,22143.32721657894,2523.7156872478117
2,59,18993.169263625314,3564.4189724138882
2,60,27884.273467143837,2776.853874845934
2,61,73932.53747134024,7223.439796876108
2,62,29422.79237923152,5051.297156931697
