sura_num,aya_num,median,std
1,0,4157.387937187723,2090.833973620493
1,1,4404.668278290247,1406.7058223748013
1,2,5428.513430509103,969.7088568255709
1,3,4100.241851717988,1188.1672075641095
1,4,4109.343197298743,1023.8967959044217
1,5,5951.5258119092105,1070.9093733996087
1,6,4943.593226790763,951.7116799927896
1,7,14182.507645903457,2947.5051448536215
2,0,3877.523682295302,1266.0644776821537
2,1,8437.009650104004,1857.2323547921644
2,2,8382.508315753952,1347.7815378815458
2,3,12183.837309800658,1821.6517104322902
2,4,15269.202467111345,2159.177299086199
2,5,11775.38384638329,1237.3008873279077
2,6,14772.47823355903,2740.0471830318406
2,7,14769.253289582699,1670.4314799485326
2,8,12912.567564869598,1528.5275663314412
2,9,13682.338349382815,2046.9584086107027
2,10,15032.936231934043,1622.1260584629333
2,11,10549.232505119664,1251.0144801942818
2,12,8734.59791236947,1149.4991477816486
2,13,25006.546027480217,3120.2479134232212
2,14,19825.249931205784,2751.45006248149
2,15,8877.649390365481,1377.485628351528
2,16,13956.786513355615,1780.4594912275481
2,17,21528.272079732153,4566.359428095219
2,18,8227.313712914027,774.2413607003741
2,19,26320.579012810915,3007.894553161903
2,20,31276.421561613017,3210.2963948349557
2,21,14462.426650125031,1443.1935833698124
2,22,31812.581377879258,4802.788462203902
2,23,27705.841533795458,4364.202418983162
2,24,16030.564278354632,2211.3423395175946
2,25,42397.938789477426,4643.106989641742
2,26,44368.76743434972,3988.341140354816
2,27,24412.169515677953,3059.095600936395
2,28,18255.106415043047,1732.2919834342977
2,29,22671.923480916023,3315.619357659722
2,30,33776.08671610869,3087.9912505352054
2,31,25223.607424917784,4036.3228458328826
2,32,14406.571115549703,1429.521130848
2,33,33718.24126095358,3928.5512953341845
2,34,16141.383225539448,2202.9116922376334
2,35,21052.451317378327,3208.0138337205417
2,36,22268.04316704545,1744.5304376745462
2,37,14635.172632882128,1674.8429425961658
2,38,19850.437141383234,3266.340063346493
2,39,15364.752777214508,2080.1837588352064
2,40,18495.55547262133,3326.3316077685395
2,41,23788.22355625267,2889.1436820270515
2,42,9537.087972032077,981.5196692859092
2,43,8623.66822589446,1244.5577336527567
2,44,15801.066706578225,1303.4829964615906
2,45,11791.153193754144,3134.919772468881
2,46,12333.879889814816,2507.7358524048036
2,47,15959.193684766236,1614.1109529037399
2,48,20425.143174558194,3220.3049288709317
2,49,27527.282624434818,2609.5872603886337
2,50,14274.724995267825,1623.028004107326
2,51,15326.77409877121,1894.2244494374575
2,52,10404.395137140002,671.6462235516076
2,53,8899.305417749994,676.5288261315603
2,54,34079.28318641456,2889.1164346514915
2,55,16160.094218540358,1305.9831479906
2,56,9438.251879952488,863.7202518883906
2,57,24857.36148813583,2561.957401573911
2,58,22209.123774133637,2539.6894349182917
2,59,19027.771381861705,3552.6096738680817
2,60,27994.284289764328,2909.022087685762
2,61,74063.92595075941,7381.00205961707
2,62,29824.86612319093,5087.133789783345
2,63,18486.31911621078,2743.303726831763
2,64,16720.95729177504,1606.1772469080297
2,65,12712.886498013031,1316.128289544139
2,66,11905.926395834224,2140.301181923565
2,67,22001.05649769997,3420.632389203738
2,68,21950.83873839995,2261.4634040090286
2,69,22171.780114526453,2023.4497109669762
2,70,18060.405244693313,2762.9453055766403
2,71,25680.115302219237,3244.970598615407
2,72,12579.958533159184,1471.3655568032004
2,73,14820.97676180048,1996.6384702697242
2,74,42909.63525165948,5884.201553539297
2,75,22198.342166542247,3675.6654058813024
2,76,36850.27317328146,5548.905970918274
2,77,9617.09879102272,870.700118441255
2,78,13199.544892500846,1652.8428699691221
2,79,29977.347877809254,3819.3187325464955
2,80,25883.571080881018,3050.9358120714805
2,81,19486.60431685521,4057.325897860252
2,82,14818.11188658421,3103.4552981379834
2,83,42291.83724712834,7357.1372183202275
2,84,20605.052708530588,4894.97880871467
2,85,68662.80605552925,9709.855028948341
2,86,16113.666038673957,2158.2585667229487
2,87,36787.975531122895,4292.505433980012
2,88,12665.21511539732,1333.3760935666942
2,89,32342.50400777531,4947.520225418961
2,90,33272.26871387901,4074.568232051628
2,91,36665.94287343175,5524.238657885807
2,92,14909.483648626549,2737.495218204602
2,93,35899.57911913537,5885.649643202793
2,94,19984.75111620347,3140.373317699548
2,95,13740.142560134984,1324.9156436441433
2,96,30626.17265663542,6716.210275448489
2,97,20462.72954174196,2985.314607379557
2,98,17294.638615251693,3931.2712084809564
2,99,14276.652651273778,1505.4779856238263
2,100,13254.220695993265,1981.6115026888685
2,101,29773.571615888475,4557.084875676327
2,102,83012.57828615882,8531.818719275745
2,103,14016.123601999769,1421.0356915685963
2,104,15855.683181392098,1688.01825546213
2,105,28032.790530991544,2627.9123698214057
2,106,18911.49735135356,1999.0605507744167
2,107,16562.286027811737,2191.247817663671
2,108,19495.03951672438,2556.7717409331012
2,109,36291.50302032607,7515.610738758565
2,110,21321.70655666504,3203.660402901711
2,111,20357.718031797827,2089.9651629028162
2,112,19211.53134944022,3586.6635042389244
2,113,33296.336039683636,6680.4803793681
2,114,31606.116703071355,2815.4282222191746
2,115,15968.369197293956,1409.773513710116
2,116,14520.213255629817,1363.7868825916448
2,117,14279.48854745258,1787.5009945152692
2,118,27518.713700280303,2816.6126189306715
2,119,13988.689280952436,2090.338967933854
2,120,32459.03826087451,4447.810410745338
2,121,20053.145359269016,2307.9657628229975
2,122,15392.521248023688,1971.6191892597228
2,123,19779.96844710776,4732.42536258573
2,124,24723.194337790053,1981.5387984994559
2,125,31655.596401280054,4463.717764131535
2,126,34539.62580246797,4854.766102142054
2,127,16462.626747189017,1820.2082501353068
2,128,22459.552937244378,3922.443905274844
2,129,21446.75772711236,2794.0315843220787
2,130,18930.780246090595,2079.7969624488005
2,131,9210.636274010983,1281.3460640295834
