, ,aya,sura,ء,آ,أ,ؤ,إ,ئ,ا,ب,ة,ت,ث,ج,ح,خ,د,ذ,ر,ز,س,ش,ص,ض,ط,ظ,ع,غ,ف,ق,ك,ل,م,ن,ه,و,ى,ي,ً,ٌ,ٍ,َ,ُ,ِ,ّ,ْ,sum_letters,num_words,alef,hamza,all_ta,all_ya,all_waw
14,10.0,8,2,0.0,2.0,0.0,1.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,8.0,6.0,2.0,5.0,0.0,3.0,0.0,0.0,0.0,15.0,4.0,11.0,3.0,6.0,86.0,11.0,9.0,3.0,0.0,3.0,5.0
15,9.0,9,2,0.0,1.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,4.0,6.0,2.0,7.0,0.0,4.0,0.0,0.0,0.0,21.0,8.0,3.0,3.0,4.0,88.0,10.0,10.0,1.0,0.0,4.0,7.0
16,11.0,10,2,0.0,0.0,1.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,5.0,7.0,2.0,4.0,4.0,0.0,3.0,1.0,3.0,0.0,17.0,8.0,6.0,1.0,3.0,90.0,12.0,8.0,0.0,0.0,3.0,4.0
17,10.0,11,2,0.0,0.0,1.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,3.0,4.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,11.0,7.0,7.0,1.0,6.0,75.0,11.0,10.0,0.0,1.0,2.0,4.0
18,6.0,12,2,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,3.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,9.0,7.0,3.0,1.0,5.0,54.0,7.0,5.0,0.0,0.0,1.0,3.0
19,18.0,13,2,2.0,3.0,2.0,1.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,10.0,10.0,9.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,31.0,14.0,6.0,4.0,5.0,137.0,19.0,21.0,6.0,0.0,2.0,5.0
20,15.0,14,2,0.0,2.0,0.0,0.0,5.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,6.0,7.0,9.0,2.0,8.0,1.0,3.0,0.0,0.0,0.0,27.0,8.0,10.0,4.0,6.0,128.0,16.0,22.0,3.0,1.0,3.0,8.0
21,6.0,15,2,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,2.0,6.0,2.0,0.0,5.0,0.0,0.0,0.0,9.0,7.0,6.0,2.0,7.0,65.0,7.0,2.0,1.0,1.0,5.0,2.0
22,10.0,16,2,0.0,0.0,1.0,0.0,0.0,1.0,11.0,2.0,1.0,5.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,4.0,3.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,22.0,7.0,6.0,2.0,5.0,99.0,11.0,13.0,1.0,6.0,2.0,4.0
23,16.0,17,2,1.0,0.0,1.0,0.0,0.0,0.0,10.0,3.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,9.0,8.0,3.0,6.0,5.0,0.0,3.0,1.0,0.0,1.0,30.0,10.0,7.0,3.0,8.0,132.0,17.0,11.0,1.0,4.0,3.0,5.0
24,5.0,18,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,4.0,5.0,1.0,1.0,4.0,37.0,6.0,1.0,0.0,0.0,2.0,1.0
25,18.0,19,2,1.0,1.0,2.0,0.0,0.0,0.0,11.0,4.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,4.0,0.0,3.0,2.0,2.0,8.0,8.0,5.0,4.0,7.0,0.0,6.0,0.0,4.0,1.0,30.0,6.0,17.0,4.0,9.0,157.0,19.0,14.0,2.0,2.0,6.0,7.0
