sura,ء,أ,ؤ,إ,ئ,ا,ب,ة,ت,ث,ج,ح,خ,د,ذ,ر,ز,س,ش,ص,ض,ط,ظ,ع,غ,ـ,ف,ق,ك,ل,م,ن,ه,و,ى,ي,ً,ٌ,ٍ,َ,ُ,ِ,ّ,ْ,ٓ,ٔ,ٰ,ٱ,ۜ,۟,۠,ۢ,ۣ,ۥ,ۦ,ۨ,۪,۫,۬,ۭ,sum_letters,num_words,alef,hamza,all_ta,all_ya,all_waw
89,2.0,15.0,0.0,9.0,4.0,47.0,25.0,3.0,20.0,6.0,9.0,7.0,4.0,19.0,18.0,31.0,1.0,8.0,2.0,5.0,4.0,4.0,0.0,16.0,1.0,0.0,23.0,10.0,22.0,66.0,32.0,23.0,17.0,39.0,23.0,29.0,10.0,3.0,8.0,234.0,50.0,81.0,48.0,64.0,11.0,0.0,16.0,31.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1111.0,137.0,141.0,6.0,23.0,29.0,45.0
90,1.0,16.0,1.0,2.0,1.0,29.0,20.0,10.0,9.0,1.0,2.0,9.0,1.0,14.0,7.0,10.0,0.0,7.0,2.0,6.0,0.0,1.0,0.0,7.0,1.0,2.0,6.0,10.0,8.0,34.0,27.0,24.0,10.0,23.0,4.0,20.0,5.0,6.0,7.0,155.0,21.0,34.0,12.0,48.0,4.0,2.0,10.0,13.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,651.0,82.0,74.0,5.0,19.0,20.0,25.0
91,1.0,4.0,0.0,4.0,0.0,31.0,10.0,1.0,3.0,2.0,2.0,3.0,2.0,6.0,7.0,7.0,1.0,8.0,3.0,0.0,2.0,2.0,0.0,4.0,2.0,0.0,10.0,10.0,3.0,20.0,16.0,8.0,27.0,24.0,13.0,5.0,0.0,0.0,1.0,125.0,16.0,18.0,14.0,22.0,2.0,0.0,15.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,54.0,76.0,1.0,4.0,5.0,24.0
92,2.0,10.0,1.0,8.0,0.0,22.0,8.0,2.0,13.0,1.0,4.0,3.0,3.0,5.0,9.0,12.0,2.0,12.0,3.0,2.0,1.0,1.0,1.0,8.0,4.0,0.0,5.0,5.0,6.0,39.0,13.0,22.0,12.0,20.0,27.0,13.0,1.0,0.0,2.0,144.0,26.0,30.0,27.0,39.0,6.0,0.0,21.0,15.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,71.0,103.0,3.0,15.0,13.0,25.0
93,1.0,6.0,0.0,1.0,2.0,16.0,4.0,2.0,5.0,1.0,4.0,2.0,2.0,6.0,1.0,8.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,4.0,1.0,1.0,9.0,2.0,9.0,18.0,10.0,4.0,3.0,15.0,8.0,9.0,3.0,1.0,0.0,89.0,6.0,15.0,13.0,17.0,4.0,1.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,40.0,44.0,4.0,7.0,9.0,15.0
94,0.0,2.0,0.0,4.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,13.0,1.0,4.0,1.0,2.0,2.0,0.0,1.0,7.0,2.0,0.0,6.0,1.0,9.0,7.0,3.0,8.0,1.0,5.0,2.0,2.0,2.0,0.0,0.0,52.0,4.0,10.0,4.0,18.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,27.0,19.0,0.0,1.0,2.0,5.0
95,1.0,6.0,0.0,2.0,0.0,7.0,5.0,0.0,4.0,1.0,1.0,4.0,1.0,6.0,3.0,4.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,3.0,4.0,21.0,11.0,17.0,4.0,11.0,1.0,13.0,0.0,1.0,2.0,57.0,13.0,28.0,9.0,18.0,1.0,0.0,7.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,34.0,33.0,1.0,4.0,13.0,11.0
96,4.0,11.0,0.0,9.0,2.0,15.0,13.0,5.0,9.0,0.0,2.0,0.0,3.0,6.0,6.0,14.0,1.0,8.0,0.0,3.0,0.0,3.0,0.0,12.0,2.0,0.0,2.0,8.0,10.0,38.0,13.0,24.0,7.0,7.0,14.0,14.0,2.0,0.0,4.0,133.0,11.0,33.0,24.0,38.0,8.0,0.0,14.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,554.0,72.0,83.0,6.0,14.0,14.0,8.0
97,0.0,4.0,0.0,2.0,1.0,4.0,2.0,4.0,2.0,0.0,1.0,2.0,1.0,4.0,1.0,10.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,3.0,19.0,9.0,7.0,5.0,3.0,4.0,5.0,0.0,2.0,2.0,40.0,8.0,20.0,8.0,21.0,3.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,30.0,25.0,1.0,6.0,5.0,3.0
98,3.0,9.0,2.0,4.0,2.0,27.0,13.0,9.0,17.0,0.0,5.0,5.0,5.0,9.0,6.0,19.0,2.0,1.0,4.0,4.0,2.0,1.0,0.0,7.0,0.0,0.0,10.0,4.0,15.0,45.0,29.0,34.0,22.0,26.0,5.0,29.0,3.0,3.0,1.0,137.0,50.0,69.0,33.0,38.0,9.0,0.0,16.0,22.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,771.0,94.0,83.0,7.0,26.0,29.0,27.0
99,0.0,9.0,0.0,2.0,2.0,19.0,3.0,2.0,5.0,4.0,1.0,2.0,3.0,2.0,5.0,13.0,4.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,1.0,18.0,11.0,6.0,8.0,7.0,1.0,9.0,3.0,0.0,4.0,70.0,13.0,13.0,8.0,25.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,36.0,38.0,2.0,7.0,9.0,9.0
100,0.0,2.0,0.0,6.0,1.0,9.0,11.0,0.0,3.0,2.0,1.0,5.0,2.0,7.0,3.0,10.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,6.0,1.0,0.0,7.0,3.0,2.0,18.0,9.0,10.0,8.0,10.0,3.0,9.0,5.0,4.0,1.0,56.0,15.0,35.0,10.0,18.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,321.0,40.0,34.0,1.0,3.0,12.0,12.0
101,0.0,5.0,0.0,0.0,0.0,17.0,2.0,7.0,3.0,3.0,1.0,1.0,1.0,2.0,0.0,8.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,7.0,4.0,6.0,11.0,16.0,10.0,8.0,13.0,3.0,9.0,0.0,3.0,2.0,60.0,20.0,17.0,6.0,17.0,2.0,0.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,36.0,38.0,0.0,10.0,9.0,16.0
102,0.0,1.0,0.0,0.0,1.0,6.0,1.0,0.0,9.0,4.0,1.0,2.0,0.0,0.0,1.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,3.0,5.0,19.0,13.0,11.0,2.0,9.0,2.0,8.0,0.0,0.0,1.0,55.0,17.0,11.0,12.0,16.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,28.0,17.0,2.0,9.0,8.0,9.0
103,1.0,0.0,0.0,3.0,0.0,8.0,3.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,10.0,2.0,5.0,0.0,10.0,1.0,1.0,0.0,0.0,1.0,25.0,3.0,13.0,6.0,8.0,0.0,0.0,3.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,14.0,21.0,1.0,3.0,1.0,10.0
104,0.0,4.0,1.0,1.0,0.0,8.0,2.0,8.0,2.0,0.0,1.0,3.0,1.0,10.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,6.0,0.0,1.0,3.0,1.0,3.0,20.0,15.0,5.0,7.0,4.0,6.0,4.0,1.0,2.0,4.0,61.0,17.0,13.0,15.0,11.0,2.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,267.0,33.0,27.0,2.0,10.0,4.0,7.0
105,0.0,6.0,0.0,0.0,0.0,3.0,6.0,1.0,3.0,0.0,4.0,2.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,5.0,0.0,0.0,6.0,0.0,5.0,14.0,9.0,1.0,4.0,2.0,1.0,10.0,1.0,0.0,5.0,40.0,4.0,15.0,4.0,18.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,185.0,23.0,12.0,0.0,4.0,10.0,2.0
106,2.0,1.0,0.0,2.0,0.0,4.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,1.0,0.0,9.0,7.0,3.0,4.0,5.0,1.0,5.0,0.0,0.0,3.0,24.0,6.0,14.0,6.0,11.0,2.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,147.0,17.0,15.0,2.0,3.0,6.0,5.0
107,2.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,6.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,6.0,0.0,0.0,2.0,0.0,3.0,16.0,9.0,11.0,4.0,7.0,3.0,14.0,0.0,1.0,0.0,41.0,14.0,18.0,10.0,11.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,25.0,20.0,2.0,3.0,14.0,7.0
108,0.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,5.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,21.0,2.0,6.0,4.0,8.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,10.0,10.0,1.0,1.0,1.0,3.0
109,0.0,7.0,0.0,0.0,0.0,11.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,3.0,8.0,9.0,9.0,1.0,8.0,1.0,4.0,0.0,1.0,0.0,35.0,19.0,8.0,3.0,11.0,7.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,26.0,24.0,0.0,4.0,4.0,8.0
110,1.0,2.0,0.0,2.0,0.0,8.0,4.0,0.0,4.0,0.0,2.0,3.0,1.0,3.0,1.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,7.0,1.0,6.0,4.0,6.0,1.0,3.0,2.0,0.0,0.0,30.0,6.0,12.0,7.0,11.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,19.0,18.0,1.0,4.0,3.0,7.0
111,0.0,3.0,0.0,0.0,0.0,9.0,8.0,1.0,5.0,0.0,1.0,3.0,0.0,3.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,7.0,7.0,4.0,6.0,3.0,4.0,3.0,1.0,1.0,3.0,41.0,5.0,6.0,5.0,7.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,157.0,23.0,20.0,0.0,6.0,3.0,5.0
112,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,12.0,4.0,1.0,4.0,5.0,0.0,3.0,1.0,2.0,0.0,18.0,10.0,1.0,4.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,15.0,6.0,0.0,0.0,3.0,6.0
113,0.0,1.0,0.0,2.0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,3.0,5.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,6.0,0.0,6.0,5.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,29.0,4.0,18.0,7.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,23.0,14.0,0.0,1.0,0.0,5.0
114,0.0,1.0,0.0,1.0,0.0,7.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,12.0,3.0,9.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,19.0,7.0,22.0,10.0,6.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,20.0,21.0,0.0,1.0,1.0,7.0
