sura,ء,آ,أ,ؤ,إ,ئ,ا,ب,ة,ت,ث,ج,ح,خ,د,ذ,ر,ز,س,ش,ص,ض,ط,ظ,ع,غ,ف,ق,ك,ل,م,ن,ه,و,ى,ي,sum_letters,num_words,alef,hamza,all_ta,all_ya,all_waw
81,5.0,1.0,9.0,0.0,18.0,1.0,59.0,15.0,3.0,20.0,1.0,9.0,8.0,1.0,4.0,19.0,18.0,2.0,16.0,11.0,3.0,2.0,4.0,0.0,12.0,1.0,8.0,8.0,9.0,46.0,27.0,30.0,7.0,37.0,1.0,20.0,435.0,104.0,88.0,7.0,23.0,20.0,37.0
82,2.0,0.0,7.0,0.0,8.0,3.0,51.0,14.0,1.0,12.0,3.0,3.0,3.0,2.0,8.0,7.0,19.0,0.0,6.0,2.0,2.0,0.0,1.0,1.0,8.0,2.0,13.0,3.0,18.0,31.0,27.0,23.0,5.0,22.0,0.0,26.0,333.0,81.0,66.0,5.0,13.0,26.0,22.0
83,1.0,3.0,17.0,1.0,15.0,5.0,99.0,28.0,1.0,19.0,5.0,8.0,6.0,3.0,5.0,20.0,30.0,3.0,14.0,2.0,1.0,4.0,2.0,5.0,18.0,1.0,19.0,13.0,32.0,76.0,63.0,70.0,26.0,68.0,6.0,61.0,750.0,169.0,140.0,10.0,20.0,61.0,68.0
84,2.0,2.0,16.0,1.0,12.0,1.0,58.0,24.0,0.0,16.0,1.0,2.0,8.0,1.0,5.0,10.0,24.0,0.0,14.0,3.0,3.0,1.0,2.0,2.0,8.0,1.0,13.0,15.0,11.0,40.0,27.0,31.0,23.0,36.0,4.0,28.0,445.0,108.0,92.0,6.0,16.0,28.0,36.0
85,2.0,2.0,6.0,4.0,6.0,2.0,62.0,14.0,0.0,14.0,3.0,7.0,9.0,1.0,22.0,12.0,15.0,3.0,2.0,8.0,2.0,1.0,2.0,1.0,14.0,1.0,11.0,6.0,8.0,57.0,38.0,28.0,24.0,49.0,2.0,31.0,469.0,109.0,78.0,10.0,14.0,31.0,49.0
86,3.0,0.0,4.0,0.0,5.0,2.0,42.0,6.0,1.0,4.0,1.0,4.0,1.0,3.0,9.0,2.0,15.0,1.0,5.0,0.0,4.0,1.0,2.0,2.0,5.0,0.0,8.0,9.0,7.0,33.0,19.0,16.0,11.0,15.0,2.0,12.0,254.0,61.0,53.0,5.0,5.0,12.0,15.0
87,2.0,1.0,7.0,1.0,5.0,1.0,35.0,8.0,2.0,6.0,3.0,4.0,7.0,6.0,4.0,9.0,19.0,1.0,10.0,3.0,4.0,0.0,0.0,0.0,5.0,1.0,13.0,6.0,9.0,34.0,12.0,13.0,10.0,16.0,18.0,21.0,296.0,72.0,66.0,5.0,8.0,21.0,16.0
88,1.0,1.0,6.0,0.0,12.0,2.0,43.0,13.0,16.0,11.0,4.0,6.0,4.0,2.0,1.0,6.0,17.0,1.0,11.0,2.0,4.0,4.0,3.0,1.0,18.0,3.0,16.0,3.0,10.0,35.0,26.0,23.0,13.0,23.0,7.0,34.0,382.0,92.0,69.0,4.0,27.0,34.0,23.0
89,2.0,0.0,15.0,0.0,9.0,4.0,88.0,25.0,3.0,20.0,6.0,9.0,7.0,4.0,19.0,18.0,31.0,1.0,8.0,2.0,5.0,4.0,4.0,0.0,16.0,1.0,23.0,10.0,22.0,67.0,32.0,23.0,17.0,39.0,4.0,46.0,584.0,139.0,116.0,6.0,23.0,46.0,39.0
90,0.0,2.0,17.0,1.0,2.0,1.0,47.0,20.0,10.0,9.0,1.0,2.0,9.0,1.0,14.0,7.0,10.0,0.0,7.0,2.0,6.0,0.0,1.0,0.0,7.0,1.0,6.0,10.0,8.0,34.0,27.0,24.0,10.0,23.0,0.0,23.0,342.0,82.0,68.0,4.0,19.0,23.0,23.0
