sura,ء,آ,أ,ؤ,إ,ئ,ا,ب,ة,ت,ث,ج,ح,خ,د,ذ,ر,ز,س,ش,ص,ض,ط,ظ,ع,غ,ف,ق,ك,ل,م,ن,ه,و,ى,ي,sum_letters,num_words,alef,hamza,all_ta,all_ya,all_waw
24,34.0,26.0,173.0,17.0,69.0,25.0,694.0,208.0,54.0,198.0,20.0,58.0,83.0,47.0,88.0,85.0,174.0,33.0,89.0,44.0,33.0,38.0,24.0,17.0,179.0,27.0,132.0,61.0,180.0,719.0,480.0,434.0,298.0,448.0,37.0,427.0,5753.0,1319.0,999.0,102.0,252.0,427.0,448.0
25,20.0,12.0,95.0,3.0,46.0,14.0,598.0,136.0,24.0,108.0,20.0,54.0,44.0,33.0,64.0,87.0,192.0,21.0,81.0,27.0,18.0,23.0,11.0,9.0,109.0,9.0,73.0,89.0,125.0,446.0,243.0,282.0,139.0,334.0,27.0,262.0,3878.0,896.0,778.0,49.0,132.0,262.0,334.0
26,17.0,27.0,205.0,19.0,118.0,17.0,637.0,189.0,29.0,166.0,29.0,60.0,59.0,38.0,51.0,85.0,216.0,40.0,93.0,24.0,25.0,20.0,33.0,17.0,204.0,18.0,142.0,133.0,186.0,609.0,481.0,602.0,170.0,420.0,32.0,419.0,5630.0,1320.0,1019.0,80.0,195.0,419.0,420.0
27,26.0,34.0,159.0,9.0,71.0,18.0,586.0,152.0,39.0,176.0,12.0,55.0,52.0,35.0,98.0,56.0,192.0,19.0,93.0,37.0,26.0,24.0,27.0,16.0,134.0,11.0,116.0,120.0,140.0,529.0,397.0,421.0,227.0,333.0,29.0,321.0,4790.0,1161.0,879.0,87.0,215.0,321.0,333.0
28,34.0,28.0,179.0,7.0,97.0,18.0,750.0,169.0,44.0,212.0,16.0,72.0,71.0,38.0,124.0,52.0,216.0,19.0,101.0,33.0,39.0,29.0,19.0,16.0,177.0,25.0,150.0,147.0,178.0,664.0,457.0,564.0,274.0,414.0,72.0,426.0,5931.0,1438.0,1126.0,87.0,256.0,426.0,414.0
29,23.0,30.0,104.0,8.0,75.0,17.0,603.0,148.0,32.0,121.0,18.0,47.0,50.0,30.0,64.0,67.0,116.0,21.0,70.0,21.0,25.0,16.0,17.0,8.0,114.0,9.0,101.0,92.0,127.0,550.0,341.0,407.0,195.0,349.0,21.0,280.0,4317.0,978.0,833.0,78.0,153.0,280.0,349.0
30,21.0,27.0,81.0,6.0,36.0,15.0,414.0,110.0,26.0,110.0,27.0,25.0,43.0,25.0,51.0,59.0,140.0,15.0,70.0,26.0,16.0,30.0,9.0,11.0,93.0,8.0,110.0,77.0,120.0,391.0,314.0,275.0,147.0,268.0,14.0,263.0,3473.0,817.0,572.0,69.0,136.0,263.0,268.0
31,3.0,9.0,58.0,1.0,36.0,7.0,283.0,75.0,19.0,63.0,9.0,19.0,30.0,21.0,46.0,20.0,89.0,14.0,37.0,18.0,20.0,13.0,6.0,7.0,63.0,14.0,53.0,31.0,69.0,295.0,170.0,153.0,106.0,147.0,18.0,149.0,2171.0,550.0,404.0,20.0,82.0,149.0,147.0
32,8.0,7.0,46.0,2.0,17.0,7.0,205.0,50.0,10.0,46.0,6.0,23.0,11.0,12.0,25.0,29.0,64.0,8.0,31.0,7.0,8.0,8.0,2.0,4.0,45.0,1.0,46.0,38.0,46.0,151.0,155.0,158.0,65.0,120.0,12.0,90.0,1563.0,372.0,287.0,24.0,56.0,90.0,120.0
33,25.0,20.0,160.0,30.0,79.0,20.0,859.0,162.0,35.0,180.0,14.0,62.0,66.0,39.0,105.0,81.0,193.0,32.0,91.0,28.0,30.0,24.0,24.0,17.0,151.0,18.0,122.0,111.0,197.0,711.0,418.0,506.0,275.0,459.0,37.0,407.0,5788.0,1303.0,1155.0,95.0,215.0,407.0,459.0
34,16.0,20.0,84.0,8.0,54.0,7.0,481.0,141.0,22.0,86.0,14.0,39.0,36.0,14.0,76.0,67.0,151.0,30.0,59.0,28.0,12.0,25.0,10.0,8.0,114.0,14.0,98.0,94.0,115.0,416.0,287.0,288.0,125.0,263.0,28.0,264.0,3594.0,884.0,667.0,51.0,108.0,264.0,263.0
35,21.0,3.0,77.0,5.0,55.0,10.0,445.0,103.0,26.0,83.0,13.0,38.0,41.0,29.0,63.0,58.0,157.0,30.0,66.0,24.0,20.0,20.0,8.0,8.0,78.0,18.0,93.0,42.0,108.0,397.0,250.0,234.0,155.0,215.0,26.0,219.0,3238.0,778.0,606.0,39.0,109.0,219.0,215.0
36,10.0,14.0,89.0,3.0,59.0,9.0,377.0,71.0,24.0,82.0,14.0,36.0,40.0,28.0,50.0,45.0,121.0,18.0,47.0,27.0,22.0,15.0,14.0,5.0,83.0,12.0,70.0,72.0,77.0,328.0,309.0,301.0,140.0,221.0,21.0,214.0,3068.0,730.0,560.0,36.0,106.0,214.0,221.0
37,13.0,18.0,79.0,8.0,95.0,17.0,509.0,155.0,19.0,104.0,12.0,45.0,56.0,24.0,59.0,57.0,127.0,23.0,72.0,19.0,34.0,14.0,21.0,16.0,111.0,12.0,112.0,80.0,98.0,444.0,316.0,433.0,164.0,265.0,30.0,238.0,3899.0,865.0,731.0,56.0,123.0,238.0,265.0
38,9.0,14.0,91.0,4.0,63.0,7.0,445.0,147.0,21.0,68.0,9.0,36.0,52.0,37.0,69.0,62.0,125.0,20.0,53.0,20.0,29.0,17.0,20.0,7.0,98.0,15.0,76.0,74.0,88.0,329.0,206.0,257.0,120.0,198.0,22.0,158.0,3066.0,735.0,635.0,34.0,89.0,158.0,198.0
39,27.0,12.0,137.0,3.0,61.0,17.0,609.0,177.0,33.0,161.0,29.0,49.0,61.0,50.0,88.0,88.0,170.0,34.0,94.0,34.0,22.0,32.0,11.0,10.0,125.0,13.0,122.0,115.0,143.0,626.0,379.0,369.0,255.0,336.0,48.0,330.0,4870.0,1178.0,867.0,59.0,194.0,330.0,336.0
40,24.0,29.0,120.0,8.0,77.0,12.0,687.0,211.0,27.0,140.0,23.0,41.0,62.0,33.0,115.0,91.0,209.0,23.0,99.0,27.0,33.0,26.0,12.0,11.0,142.0,19.0,149.0,107.0,187.0,624.0,377.0,403.0,203.0,360.0,40.0,357.0,5108.0,1226.0,953.0,73.0,167.0,357.0,360.0
41,24.0,23.0,93.0,3.0,54.0,15.0,453.0,95.0,29.0,98.0,12.0,29.0,46.0,25.0,68.0,56.0,116.0,23.0,64.0,30.0,19.0,16.0,8.0,10.0,102.0,10.0,92.0,81.0,86.0,356.0,273.0,295.0,143.0,246.0,26.0,244.0,3363.0,794.0,649.0,65.0,127.0,244.0,246.0
42,27.0,14.0,83.0,3.0,55.0,9.0,445.0,129.0,24.0,82.0,13.0,32.0,51.0,15.0,64.0,57.0,139.0,22.0,53.0,38.0,28.0,23.0,10.0,14.0,98.0,14.0,84.0,57.0,93.0,424.0,297.0,256.0,169.0,269.0,27.0,304.0,3522.0,860.0,624.0,53.0,106.0,304.0,269.0
43,21.0,18.0,94.0,4.0,60.0,14.0,439.0,140.0,33.0,110.0,14.0,44.0,42.0,32.0,63.0,55.0,131.0,11.0,71.0,21.0,17.0,24.0,10.0,11.0,121.0,3.0,94.0,84.0,112.0,370.0,321.0,329.0,177.0,279.0,19.0,223.0,3611.0,836.0,630.0,57.0,143.0,223.0,279.0
44,8.0,7.0,30.0,4.0,38.0,5.0,183.0,61.0,8.0,45.0,5.0,15.0,14.0,7.0,15.0,19.0,61.0,10.0,22.0,9.0,4.0,4.0,5.0,2.0,47.0,5.0,32.0,35.0,50.0,136.0,147.0,154.0,59.0,112.0,12.0,105.0,1475.0,346.0,270.0,24.0,53.0,105.0,112.0
45,10.0,18.0,39.0,2.0,24.0,13.0,296.0,69.0,14.0,95.0,10.0,19.0,29.0,16.0,21.0,30.0,61.0,16.0,39.0,7.0,9.0,13.0,3.0,6.0,60.0,7.0,43.0,36.0,68.0,242.0,197.0,150.0,96.0,155.0,16.0,156.0,2085.0,488.0,393.0,43.0,109.0,156.0,155.0
46,7.0,10.0,81.0,0.0,46.0,13.0,358.0,94.0,9.0,91.0,7.0,25.0,34.0,16.0,57.0,48.0,96.0,13.0,47.0,13.0,20.0,18.0,4.0,4.0,79.0,10.0,64.0,73.0,77.0,288.0,222.0,215.0,118.0,206.0,24.0,180.0,2667.0,645.0,519.0,30.0,100.0,180.0,206.0
47,13.0,12.0,90.0,5.0,27.0,5.0,306.0,72.0,16.0,82.0,12.0,13.0,23.0,16.0,35.0,43.0,93.0,9.0,35.0,10.0,16.0,18.0,16.0,4.0,73.0,11.0,73.0,38.0,75.0,299.0,223.0,176.0,140.0,192.0,21.0,131.0,2423.0,541.0,456.0,35.0,98.0,131.0,192.0
48,14.0,4.0,60.0,14.0,20.0,4.0,312.0,70.0,18.0,83.0,9.0,30.0,31.0,17.0,59.0,33.0,96.0,18.0,52.0,17.0,13.0,9.0,9.0,12.0,82.0,15.0,63.0,47.0,83.0,319.0,202.0,187.0,128.0,188.0,20.0,172.0,2510.0,560.0,416.0,36.0,101.0,172.0,188.0
49,7.0,7.0,52.0,4.0,31.0,8.0,207.0,52.0,4.0,55.0,6.0,11.0,20.0,12.0,17.0,10.0,44.0,3.0,29.0,5.0,13.0,9.0,6.0,4.0,43.0,8.0,34.0,32.0,49.0,193.0,132.0,123.0,64.0,127.0,10.0,102.0,1533.0,353.0,307.0,26.0,59.0,102.0,127.0
50,11.0,3.0,33.0,0.0,11.0,2.0,179.0,76.0,8.0,40.0,1.0,23.0,26.0,16.0,58.0,23.0,52.0,7.0,27.0,13.0,12.0,6.0,6.0,5.0,45.0,7.0,42.0,57.0,43.0,167.0,115.0,112.0,54.0,109.0,6.0,112.0,1507.0,373.0,232.0,16.0,48.0,112.0,109.0
51,7.0,5.0,39.0,3.0,30.0,1.0,185.0,36.0,8.0,53.0,4.0,21.0,17.0,14.0,18.0,33.0,65.0,5.0,36.0,4.0,9.0,4.0,7.0,2.0,39.0,6.0,62.0,46.0,39.0,159.0,144.0,143.0,63.0,127.0,10.0,102.0,1546.0,360.0,269.0,16.0,61.0,102.0,127.0
52,6.0,2.0,37.0,3.0,15.0,6.0,148.0,63.0,3.0,44.0,5.0,10.0,17.0,5.0,17.0,20.0,58.0,4.0,27.0,9.0,12.0,4.0,7.0,1.0,38.0,8.0,34.0,28.0,41.0,115.0,147.0,117.0,68.0,116.0,4.0,85.0,1324.0,312.0,206.0,17.0,47.0,85.0,116.0
53,6.0,7.0,80.0,4.0,29.0,4.0,171.0,43.0,21.0,40.0,10.0,12.0,16.0,7.0,28.0,23.0,45.0,16.0,29.0,14.0,3.0,9.0,7.0,4.0,34.0,14.0,37.0,17.0,33.0,147.0,109.0,113.0,61.0,114.0,63.0,63.0,1433.0,360.0,350.0,21.0,61.0,63.0,114.0
54,13.0,9.0,35.0,1.0,14.0,2.0,167.0,58.0,16.0,36.0,2.0,19.0,21.0,7.0,47.0,42.0,106.0,11.0,32.0,14.0,13.0,6.0,8.0,1.0,53.0,5.0,50.0,48.0,57.0,119.0,108.0,121.0,50.0,98.0,8.0,72.0,1469.0,342.0,233.0,25.0,52.0,72.0,98.0
55,34.0,34.0,48.0,3.0,15.0,4.0,270.0,124.0,4.0,62.0,3.0,27.0,13.0,15.0,7.0,45.0,85.0,7.0,29.0,9.0,7.0,7.0,10.0,1.0,18.0,4.0,68.0,22.0,84.0,138.0,109.0,142.0,39.0,65.0,4.0,92.0,1648.0,352.0,371.0,75.0,66.0,92.0,65.0
56,7.0,6.0,70.0,3.0,21.0,8.0,215.0,61.0,23.0,59.0,15.0,20.0,41.0,10.0,18.0,16.0,62.0,13.0,22.0,21.0,17.0,7.0,7.0,9.0,44.0,4.0,40.0,35.0,49.0,173.0,175.0,201.0,36.0,149.0,5.0,94.0,1756.0,379.0,317.0,24.0,82.0,94.0,149.0
57,12.0,18.0,65.0,9.0,14.0,5.0,343.0,88.0,16.0,83.0,13.0,26.0,27.0,16.0,37.0,30.0,118.0,12.0,46.0,12.0,12.0,25.0,5.0,8.0,61.0,12.0,72.0,49.0,74.0,315.0,215.0,177.0,120.0,216.0,17.0,177.0,2545.0,576.0,457.0,44.0,99.0,177.0,216.0
58,7.0,9.0,50.0,3.0,36.0,13.0,274.0,62.0,10.0,61.0,10.0,24.0,29.0,12.0,36.0,36.0,51.0,13.0,38.0,18.0,12.0,5.0,8.0,3.0,54.0,5.0,45.0,27.0,48.0,256.0,169.0,162.0,123.0,182.0,12.0,143.0,2046.0,475.0,381.0,32.0,71.0,143.0,182.0
59,14.0,5.0,55.0,3.0,22.0,10.0,278.0,64.0,12.0,45.0,6.0,23.0,23.0,21.0,31.0,29.0,77.0,10.0,34.0,17.0,19.0,5.0,4.0,4.0,38.0,6.0,49.0,44.0,44.0,270.0,148.0,155.0,115.0,159.0,14.0,117.0,1970.0,447.0,374.0,32.0,57.0,117.0,159.0
60,12.0,9.0,46.0,6.0,28.0,4.0,196.0,50.0,11.0,58.0,2.0,19.0,20.0,9.0,30.0,17.0,50.0,5.0,23.0,4.0,6.0,4.0,3.0,2.0,33.0,9.0,41.0,27.0,66.0,170.0,140.0,134.0,72.0,133.0,6.0,115.0,1560.0,352.0,285.0,31.0,69.0,115.0,133.0
61,1.0,5.0,24.0,3.0,12.0,5.0,123.0,30.0,5.0,29.0,0.0,7.0,13.0,3.0,19.0,15.0,41.0,5.0,21.0,3.0,9.0,1.0,4.0,5.0,18.0,3.0,25.0,19.0,26.0,122.0,75.0,78.0,50.0,78.0,13.0,76.0,966.0,226.0,177.0,14.0,34.0,76.0,78.0
62,2.0,4.0,12.0,1.0,12.0,3.0,115.0,17.0,8.0,27.0,7.0,3.0,10.0,4.0,12.0,16.0,22.0,7.0,8.0,3.0,3.0,8.0,0.0,3.0,16.0,2.0,18.0,14.0,24.0,110.0,71.0,48.0,35.0,60.0,2.0,61.0,768.0,177.0,145.0,10.0,35.0,61.0,60.0
63,5.0,2.0,25.0,3.0,12.0,3.0,90.0,14.0,5.0,21.0,1.0,9.0,6.0,8.0,12.0,13.0,26.0,4.0,21.0,3.0,5.0,2.0,1.0,0.0,20.0,4.0,25.0,23.0,24.0,114.0,63.0,69.0,48.0,69.0,6.0,45.0,801.0,181.0,135.0,13.0,26.0,45.0,69.0
