sura_num,aya_num,median,std
1,0,4125.131977159172,1956.319281270474
1,1,4183.60505781811,1361.5624372740401
1,2,5251.012637096237,965.596285291135
1,3,4068.4292714934263,1126.1413736936292
1,4,4023.281179304107,1019.165391024958
1,5,5838.70788098616,1040.644674419579
1,6,4905.237329306573,904.7581636531381
1,7,14072.469707023898,2879.1005357753934
2,0,3847.43910736615,1419.9374879421014
2,1,8371.549353844439,1768.8644992949128
2,2,8377.527916936846,1276.4348745756993
2,3,12089.30647091889,1762.6686165148687
2,4,15054.78451071623,2098.2826670568734
2,5,11438.811517205082,1232.2090852662022
2,6,14553.270796858904,2655.2515682139156
2,7,14496.282738120286,1615.9656795462104
2,8,12812.382720555996,1525.7812206417111
2,9,13500.730786239881,2071.6268479503374
2,10,14900.686650503794,1635.0814052264298
2,11,10464.280793263646,1214.8169834256198
2,12,8498.987976764916,1166.9728084750163
2,13,24378.771838909128,3122.964207154741
2,14,19196.62596644084,2765.7056165454064
2,15,8772.000509979458,1318.6192388543036
2,16,13848.499878886196,1754.7776814118126
2,17,20986.580708273443,4387.704214396842
2,18,8021.019391949617,767.0609537339622
2,19,25440.242841945892,2904.160328065626
2,20,30464.66196140629,3166.2481780385747
2,21,14350.216901362,1374.8358796559405
2,22,31516.59460707338,4630.359694120574
2,23,27089.92325047405,4240.727183621852
2,24,15906.18780726026,2228.5304057121557
2,25,42068.98555260162,4502.229778439795
2,26,43832.72226324287,3941.0523263652044
2,27,24059.417361429332,3085.1215596533066
2,28,18017.24233098967,1787.9040370321106
2,29,22496.018641478426,3279.232438462637
2,30,33514.0279139242,2967.081485265957
2,31,24762.04598828764,3941.2557323482906
2,32,14253.498970860262,1420.0566763144182
2,33,33322.08676207914,4066.1004723767714
2,34,16016.146942566846,2182.5964473334557
2,35,20981.663360462997,3056.8607195470927
2,36,21932.54634338098,1799.2485716727865
2,37,14443.154141034009,1685.951456456473
2,38,19583.563063204343,3160.7229250109604
2,39,15106.480747774389,2068.6943739083313
2,40,18196.9570764444,3271.1236559401113
2,41,23571.36190084837,2950.708144788812
2,42,9463.092489035913,973.8305443379934
2,43,8556.759700205588,1192.6022958686397
2,44,15678.47084018414,1248.4830037534498
2,45,11584.965911942261,2975.5054996154863
2,46,11995.544594991547,2421.467935261381
2,47,15779.497397934287,1597.6539959952502
2,48,19526.02911087456,3228.656314854899
2,49,27093.312663321936,2544.4005495121464
2,50,14112.798084816988,1711.7493740836405
2,51,15145.777617010206,1923.3563392936562
2,52,10240.153330053192,744.0130404894669
2,53,8803.570339416543,680.0140386458727
